first_seen_at,furnish,latitude,longitude,property_type,energy_label,internet,kitchen,pets,shower,smoking_inside,toilet,area,rent,deposit,distance,rent_per_m2
2019-07-14,Unfurnished,52.344971,4.876064,Room,Unknown,Yes,Shared,No,Shared,No,Shared,82,700,0,4.128437786023286,8.536585365853659
2019-07-14,Unfurnished,52.383644,4.913717,Room,Unknown,No,Shared,No,Shared,No,Shared,62,600,900,1.0385972326349964,9.67741935483871
2019-07-14,Furnished,52.347731,4.779243,Studio,Unknown,Yes,Own,No,Own,No,Own,252,590,1150,8.963807802182195,2.3412698412698414
2019-07-14,Furnished,52.377795,4.798834,Room,Unknown,Yes,Shared,No,Shared,No,Shared,112,550,550,6.929776778671455,4.910714285714286
2019-07-14,Furnished,52.377795,4.798834,Room,Unknown,Yes,Shared,No,Shared,No,Shared,62,500,0,6.929776778671455,8.064516129032258
2019-07-14,Unfurnished,52.348213,4.874775,Room,Unknown,Yes,Shared,No,Shared,No,Shared,232,596,1192,3.840688018942928,2.5689655172413794
2019-07-14,Furnished,52.356444,4.995687,Room,Unknown,Yes,Shared,No,Shared,No,Shared,132,600,0,6.943337248401851,4.545454545454546
2019-07-14,Furnished,52.342632,4.923553,Studio,Unknown,No,None,No,None,No,None,342,735,0,4.328615341184881,2.1491228070175437
2019-07-14,Furnished,52.420618,4.904518,Studio,A,Yes,Own,No,Own,No,Own,242,750,750,4.649786531999582,3.0991735537190084
2019-07-14,Furnished,52.343634,4.896236,Apartment,Unknown,No,None,By mutual agreement,None,Not important,None,572,1300,0,3.9354521402339526,2.272727272727273
2019-07-14,Furnished,52.377939,4.802224,Room,Unknown,Yes,Own,No,Own,No,Shared,202,850,0,6.698677790640606,4.207920792079208
2019-07-14,Unfurnished,52.362612,4.852206,Apartment,C,Yes,Own,No,Own,No,Own,802,2250,2300,3.760411978600178,2.8054862842892767
2019-07-14,Furnished,52.38464,4.878863,Apartment,Unknown,No,Own,No,Own,No,Own,752,2500,2400,1.610790686113218,3.324468085106383
2019-07-14,Furnished,52.383262,4.816134,Room,Unknown,No,None,No,None,No,None,122,725,725,5.7706817013503064,5.942622950819672
2019-07-14,Furnished,52.362744,4.982239,Room,Unknown,Yes,Shared,No,Shared,Not important,Shared,162,700,700,5.845053957251812,4.320987654320987
2019-07-14,Furnished,52.353742,4.812554,Room,Unknown,Yes,Shared,No,Shared,No,Shared,302,800,0,6.617376117818897,2.6490066225165565
2019-07-14,Furnished,52.372172,4.887756,Room,Unknown,Yes,Shared,No,Shared,No,Shared,102,1000,0,1.1504039788744098,9.803921568627452
2019-07-14,Furnished,52.377106,4.850602,Room,Unknown,Yes,Shared,No,Shared,No,Own,162,840,0,3.409294349472173,5.185185185185185
2019-07-14,Unfurnished,52.345231,4.806969,Apartment,Unknown,No,None,No,None,No,None,812,1650,0,7.396205627907128,2.0320197044334973
2019-07-14,Furnished,52.355025,4.925416,Room,Unknown,Yes,Shared,No,Shared,Yes,Shared,122,1000,500,3.1496443531457348,8.19672131147541
2019-07-14,Furnished,52.382689,4.824709,Room,Unknown,Yes,Shared,No,Shared,No,Shared,82,700,700,5.183541469881945,8.536585365853659
2019-07-14,Furnished,52.381724,4.855231,Room,Unknown,Yes,Shared,No,Shared,No,Shared,72,590,200,3.1039874596866084,8.194444444444445
2019-07-14,Unfurnished,52.355119,4.900813,Room,Unknown,Yes,Shared,No,Shared,No,Shared,112,750,750,2.6463731603950236,6.696428571428571
2019-07-14,Furnished,52.351828,4.946339,Room,B,Yes,Shared,No,Shared,No,Shared,102,350,300,4.334827729480977,3.4313725490196076
2019-07-14,Furnished,52.306704,4.975634,Room,Unknown,Yes,Shared,No,Shared,No,Shared,142,550,550,9.523821014453238,3.8732394366197185
2019-07-14,Furnished,52.417176,4.891384,Room,Unknown,Yes,Shared,No,Shared,No,Shared,132,600,600,4.304803348384611,4.545454545454546
2019-07-14,Unfurnished,52.357209,4.919902,Room,Unknown,No,Shared,No,Shared,No,Shared,102,750,0,2.749226146308797,7.352941176470588
2019-07-14,Furnished,52.323584,4.978151,Room,A,Yes,Shared,No,Shared,No,Shared,172,400,0,8.113306465666177,2.3255813953488373
2019-07-14,Unfurnished,52.372717,4.860108,Room,Unknown,Yes,Shared,No,Shared,No,Shared,212,875,875,2.8408347632976794,4.127358490566038
2019-07-14,Furnished,52.334499,4.914039,Room,Unknown,Yes,Shared,No,Shared,No,Shared,702,780,0,5.0251583504538875,1.1111111111111112
2019-07-14,Unfurnished,52.365971,4.805044,Room,A,Yes,Shared,No,Shared,No,Shared,112,500,500,6.663842667830632,4.464285714285714
2019-07-14,Furnished,52.295452,4.989896,Room,Unknown,Yes,Shared,No,Shared,No,Shared,92,550,0,11.103396334406975,5.978260869565218
